JP,EN
{？？？},{？？？}
#Message#,#Message#
「あー…　なんか小難しい話をしてるね」,"*sigh*... Sounds like they're having
##, some tedious argument."
,##
,
[ソウの影 / cara99-2],[ソウの影 / cara99-2]
#Message#,#Message#
\.「ちなみにキミは 青い人 と 赤い人 どっちの意見に,"\.""Incidentally, whose opinion do you support?"
　賛成するのかな？」," Mr. Blue's, or Ms. Red's?"""
##,##
,
#Choice#,#Choice#
青い人,Mr. Blue
赤い人,Ms. Red
##,##
,
<青い人>,<青い人>
,
{？？？} [ソウの影 / cara99-1],{？？？} [ソウの影 / cara99-1]
#Message#,#Message#
「あーあ…死んじゃった」,"Aww... She died."
##,##
,
[ソウの影 / cara99-2],[ソウの影 / cara99-2]
#Message#,#Message#
\.「でもやったね！,\."But good for you!
　キミと同じ賛成派の方が多かったんだ！」, Your opinion had more supporters!"
##,##
,
[ソウの影 / cara99-1],[ソウの影 / cara99-1]
#Message#,#Message#
\.「結局　多数派が絶対なんだよね！,"\.""In the end, the majority is absolute!"
　集団で生きていくってさ！」, That's just the way it goes in society!"
##,##
,
<赤い人>,<赤い人>
,
{？？？} [ソウの影 / cara99-1],{？？？} [ソウの影 / cara99-1]
#Message#,#Message#
「あーあ…死んじゃった」,"Aww... He died."
##,##
,
[ソウの影 / cara99-2],[ソウの影 / cara99-2]
#Message#,#Message#
\.「でもやったね！,\."But good for you!
　キミと同じ反対派の方が多かったんだ！」, Your opinion had more supporters!"
##,##
,
#Message#,#Message#
\.「賛成派は身をもって多数決の恐ろしさを知ったね」,"\.""With that experience, your side's learned"
##, the terror of a majority vote."
,##
,
[ソウの影 / cara99-1],[ソウの影 / cara99-1]
{SE: extend1},{SE: extend1}
#Message#,#Message#
\.「あれ…？」,\."Huh...?"
##,##
,
#Message#,#Message#
\.「これで喜んだら　結局多数決を認めちゃうことになるね」,"\.""If that makes you happy, then don't you have to"
##, recognize the appeal of majority votes?"
,##
,
#Message#,#Message#
\.「…なんだか難しいや」,\."...Sure is complicated."
##,##
,
<Choice End>,<Choice End>
,
{？？？} [ソウの影 / cara99-1],{？？？} [ソウの影 / cara99-1]
#Message#,#Message#
\.「…ん？　なにそのカオ,\."...Hmm? What's with that look?
　\!死ぬと知ってたら投票しなかったって？」,"\! If you'd known the other person would die,"
##, you wouldn't have voted?"
,##
,
#Message#,#Message#
\.「やれやれ…そんなことじゃこの先進めないよ？,"\.""C'mon... That won't get you anywhere, okay?"
　そういうゲームなんだから…」, It's what the game is all about..."
##,##
,
#Message#,#Message#
\.「…不満そうだね…」,"\.""...You don't look pleased, huh?"""
##,##
,
[ソウの影 / cara99-2],[ソウの影 / cara99-2]
#Message#,#Message#
\.「…そうだ　そこまで言うなら,"\.""Alright, if you insist, let's hold a vote!"
　次はキミの意見とボクの意見で多数決しよう！」, Your opinion versus mine!"
##,##
,
[ソウの影 / cara99-1],[ソウの影 / cara99-1]
#Message#,#Message#
\.「それじゃあ…いくよ」,\."Okay then... Let's go."
##,##
,
,
"**********Event4********** (EV004) (16,0)","**********Event4********** (EV004) (16,0)"
-----Page1-----,-----Page1-----
{？？？} [ソウの影 / cara99-1],{？？？} [ソウの影 / cara99-1]
#Message#,#Message#
\.「こんにちは,\."Good day.
　ひとまずクリアおめでとうございます！」, Congratulations on beating the game for now!"
##,##
,
#Message#,#Message#
\.「現在　まだ前編（ここ）までしか公開できておりません」,"\.""Currently, the game has only"
##, been released up to Part One (here)."
,##
,
#Message#,#Message#
\.「今後アップデートで後編シナリオの追加や,\."It's planned for future updates to
　前編の修正、イベントの改善など少しづつ," add a Part Two scenario, make fixes to Part One,"
　更新していく予定です。」, and gradually improve events."
##,##
,
#Message#,#Message#
\.「また　修正の関係でアップデート前のセーブデータが,"\.""Also, be aware that pre-update save data"
　使えなくなる可能性もありますのでご了承ください。」, may stop working due to fixes."
##,##
,
#Message#,#Message#
\.「…ちなみにここでセーブしておくと後編が追加された,"\.""Incidentally, I believe if you save here, you'll be"
　時にスッと飛べるようにしようと思ってます！, able to go right into Part Two once it's added!
　…セーブしていきますか？」, ...Will you save?"
##,##
,
#Choice#,#Choice#
はい,Yes
いいえ,No
##,##
,
<はい>,<はい>
,
<いいえ>,<いいえ>
,
<Choice End>,<Choice End>
,
{？？？} [ソウの影 / cara99-1],{？？？} [ソウの影 / cara99-1]
#Message#,#Message#
\.「もしよろしければ　こんな所にエラーがあったよ！,"\.""If you like, it would be helpful if you gave"
　などの報告や感想など書いていただけると　, reports on errors you encountered or your thoughts.
　とても参考になります。よろしくお願いします！」, Thanks in advance!"
##,##
,
#Message#,#Message#
\.※追伸「おかげさまで　現時点でもいくつかの深刻なエラー,"\.* PS: ""Thanks to your aid, several serious errors"
　を取り除くことができました！　ありがとうございます！, have been fixed by now! Thank you very much!
　個人製作なので時間はかかりますが　ストーリーを," Being a personal project, it's slow going,"
　予測する等　楽しんでいただけると制作冥利に尽きます」, but seeing predictions of the story is a blessing."
##,##
,
#Message#,#Message#
\.「それでは　このままタイトル画面へ戻りますが,"\.""Now then, you'll be returned to the title screen."
　よろしいですか？」, Is this okay?"
##,##
,
#Choice#,#Choice#
はい,Yes
いいえ,No
##,##
,
<はい>,<はい>
,
{？？？} [ソウの影 / cara99-1],{？？？} [ソウの影 / cara99-1]
#Message#,#Message#
\.「最後までプレイして頂きありがとうございます。」,\."Thank you for playing to the end."
##,##
,
<いいえ>,<いいえ>
,
<Choice End>,<Choice End>
,
,
,
=====Map2===== (OP2),=====Map2===== (OP2)
,
"**********Event1********** (EV001) (1,0)","**********Event1********** (EV001) (1,0)"
-----Page1-----,-----Page1-----
#Message#,#Message#
う…,Ugh...
##,##
,
#Message#,#Message#
\.変な夢を見てた…,\.I had a weird dream...
##,##
,
#Message#,#Message#
\.アゴが痛い…,\.My jaw is sore...
##,##
,
#Message#,#Message#
\.机に突っ伏して寝てたからだ…,\.Because I was sleeping with my head on my desk...
##,##
,
#Message#,#Message#
\.もうこんな時間…帰らなきゃ…,\.This late already...? I have to go home...
##,##
,
#Message#,#Message#
\.…急ごう…,\....Better hurry...
##,##
,
,
,
=====Map3===== (OP3),=====Map3===== (OP3)
,
"**********Event1********** (EV001) (1,0)","**********Event1********** (EV001) (1,0)"
-----Page1-----,-----Page1-----
{サラ} [サラ / cara0-1],{サラ} [サラ / cara0-1]
#Message#,#Message#
「わっ　すっかり真っ暗だな…」,"""Whoa, it's gone completely dark..."""
##,##
,
{N/A},{N/A}
#Message#,#Message#
気になる所をタッチして、調べてみよう。,Touch spots that look interesting to investigate.
##,##
,
#Message#,#Message#
\|,\|
##,##
,
-----Page3-----,-----Page3-----
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（…こうして眺めると…,\.\C[4](Seeing the school like this...
夜の学校は昼と全然違うな…）, It feels totally different at night.)
##,##
,
#Message#,#Message#
\.\C[4]（電気が…）,\.\C[4](The lights...)
##,##
,
#Message#,#Message#
\.\C[4]（…こんな暗い道を…帰るのか…）,\.\C[4](...I have to walk home when it's this dark...?)
##,##
,
,
"**********Event14********** (ike) (5,6)","**********Event14********** (ike) (5,6)"
-----Page1-----,-----Page1-----
#Message#,#Message#
\C[3]校庭の池だ。,\C[3]The campus pond.
##,##
,
#Message#,#Message#
\.\C[3]深夜12時にのぞき込むと水面に映った自分が語りかけてくる,"\.\C[3]There's a rumor that if you look into it at midnight,"
という噂がある。,your reflection will talk to you.
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（…ボッチには歓喜のスポットかもしれない）,\.\C[4](...Could be a great thing to a loner.)
##,##
,
,
"**********Event16********** (mado) (12,4)","**********Event16********** (mado) (12,4)"
-----Page1-----,-----Page1-----
#Message#,#Message#
\C[3]明かりが点いている。　,\C[3]The lights are on.
警備員さんかもしれない。,Maybe it's the guard.
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（いつもありがとうございます）,\.\C[4](Thanks for your tireless service.)
##,##
,
-----Page2-----,-----Page2-----
{N/A},{N/A}
#Message#,#Message#
\C[3]明かりは消えている。,\C[3]The lights are out.
##,##
,
,
"**********Event17********** (kage) (3,6)","**********Event17********** (kage) (3,6)"
-----Page1-----,-----Page1-----
#Message#,#Message#
\C[3]学校の正門だ。,\C[3]The front gate of the school.
ここを通らなきゃ家には帰れない。,Can't go home without going through it.
##,##
,
-----Page2-----,-----Page2-----
#Message#,#Message#
\C[3]学校の正門だ。,\C[3]The front gate of the school.
ここを通らなきゃ家には帰れない。,Can't go home without going through it.
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（帰りたく…ない）,\.\C[4](I don't... want to leave yet.)
##,##
,
-----Page3-----,-----Page3-----
#Message#,#Message#
\C[10]誰かがいる\|\.\.\^,\C[10]Someone's there...\|\.\.\^
##,##
,
{ジョー} [ジョー / cara1-1],{ジョー} [ジョー / cara1-1]
#Message#,#Message#
「なにしてんだ サラ？」,"""Whatcha doin', Sara?"""
##,##
,
{サラ},{サラ}
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
\.「ジョー…！」,\."Joe...!"
##,##
,
{N/A},{N/A}
#Message#,#Message#
\C[2]田綱 丈　(タヅナ ジョウ),"\C[2]Jou Tazuna\C[0], or rather, \C[2]Joe\C[0]. My classmate at school."
\C[0]同じ学校に通う同級生。,We often found ourselves together.
なにかにつけて一緒にいることが多い。,##
##,
,
{ジョー} [ジョー / cara1-2],{ジョー} [ジョー / cara1-2]
#Message#,#Message#
「こんな遅くまで部活かー！？,"You stuck around this late for clubs?!
　待ちくたびれたっつの！」, I was gonna wither up from waiting!"
##,##
,
[ジョー / cara1-3],[ジョー / cara1-3]
#Message#,#Message#
「まぁいい！　いい！,"""Well, it's fine! Listen!"
　お前には言いたいことがある！」, There's something I wanna tell you!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「言いたいこと？」,\."Something to tell me?"
##,##
,
{ジョー} [ジョー / cara1-2],{ジョー} [ジョー / cara1-2]
#Message#,#Message#
\.「お礼だよ！」,\."My thanks!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「お礼…　なんだったかな…」,"\.""Thanks...? For what, I wonder..."""
##,##
,
{ジョー} [ジョー / cara1-3],{ジョー} [ジョー / cara1-3]
{SE: flash-of-light-3},{SE: flash-of-light-3}
#Message#,#Message#
\.「ほら！　前に紹介してくれたろ！　リョーコちゃん！」,"\.""Oh, you know! You introduced us, right?!"
##, Me and Ryoko!"
,##
,
{サラ},{サラ}
#Message#,#Message#
\.「ああ…」,\."Right..."
##,##
,
{ジョー},{ジョー}
{SE: flash-of-light-3},{SE: flash-of-light-3}
#Message#,#Message#
\.「めっちゃ良い子じゃん！　感動ー！」,\."She's such a good girl! I'm totally moved!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「可愛かろう」,"\.""Cute, huh?"""
##,##
,
{ジョー},{ジョー}
{SE: flash-of-light-3},{SE: flash-of-light-3}
#Message#,#Message#
\.「かわいい!!」,\."Adorable!"
##,##
,
#Message#,#Message#
\.「今日なんかドネルケバブを一口で完食だぜ！,\."And I saw her swallow a doner kebab whole today!
　食いしん坊だよな～！」, She's a real glutton to boot!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「ドネルケバブを…」,\."A whole doner kebab..."
##,##
,
#Message#,#Message#
\.「え…　デートしてきたのか!?」,\."Wait... You went on a date?!"
##,##
,
{ジョー} [ジョー / cara1-2],{ジョー} [ジョー / cara1-2]
#Message#,#Message#
\.「くくく…ついさっきまでな！」,\."Wahaha... Was on it 'til just a second ago!"
##,##
,
#Message#,#Message#
\.「お前に自慢したくて学校戻ってきてやったんだぞ！」,\."I came back to school
##, so I could brag about it to ya!"
,##
,
{サラ},{サラ}
#Message#,#Message#
\.「家に帰ればいいのに…」,\."You should have just gone home..."
##,##
,
{ジョー} [ジョー / cara1-3],{ジョー} [ジョー / cara1-3]
#Message#,#Message#
\.「おう…！　目標は達した…！」,\."Alright! Bragging complete...!"
##,##
,
#Message#,#Message#
\.「帰ろうぜサラ！」,"\.""Let's go home, Sara!"""
##,##
,
,
,
=====Map4===== (OP4),=====Map4===== (OP4)
,
"**********Event1********** (EV001) (1,0)","**********Event1********** (EV001) (1,0)"
-----Page1-----,-----Page1-----
{ジョー} [ジョー / cara1-3],{ジョー} [ジョー / cara1-3]
#Message#,#Message#
「それでな…リョーコちゃんとオレはついに…」,"""And then, Ryoko and I finally..."""
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（いつまで続くんだろう…この話…）,\.\C[4](How long even is this story...)
##,##
,
{ジョー} [ジョー / cara1-1],{ジョー} [ジョー / cara1-1]
#Message#,#Message#
\.「聞いてんのか！　すげー進展したんだぞ！」,\."You listening?! We made huge progress!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（めんどくさい男だな…）,\.\C[4](This guy's such a pain...)
##,##
,
#Choice#,#Choice#
興味がない,I don't care
キスでもしたのか？,Did you kiss or what?
##,##
,
<興味がない>,<興味がない>
,
{ジョー} [ジョー / cara1-2],{ジョー} [ジョー / cara1-2]
{SE: flash-of-light-3},{SE: flash-of-light-3}
#Message#,#Message#
「なんと…手をつないだ…！,"Drumroll... We held hands...!
　すごくね…？」, Isn't that great?"
##,##
,
<キスでもしたのか？>,<キスでもしたのか？>
,
{ジョー} [ジョー / cara1-6],{ジョー} [ジョー / cara1-6]
#Message#,#Message#
「キ…!?　バカ言うな！」,"Ki...?! Don't be stupid!"
##,##
,
#Message#,#Message#
\.「最初のデートでそういうアレは…,\."Doing that on the first date...
　ケダモノって言うんだぞ！」, That'd just be monstrous!"
##,##
,
[ジョー / cara1-2],[ジョー / cara1-2]
#Message#,#Message#
\.「手をつないだんだよ！,\."We held hands!
　とんでもない進展だろ!?」," Outrageous progress, right?!"""
##,##
,
<Choice End>,<Choice End>
,
{ジョー} [ジョー / cara1-3],{ジョー} [ジョー / cara1-3]
#Message#,#Message#
\.「まぁ…オレが側溝に落ちて,\."I mean... It was mostly that I fell in a ditch
　引き上げてもらっただけなんだけどな…！」," and she was helping me out, but...!"""
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「見た目がチャラい割に奥手だね」,"\.""For looking like such a flirt, you're awfully shy..."""
##,##
,
{ジョー} [ジョー / cara1-1],{ジョー} [ジョー / cara1-1]
#Message#,#Message#
\.「はぁ⁉　チャラくねーよ！」,\."Huh?! What about me says "flirt"?!"
##,##
,
[ジョー / cara1-6],[ジョー / cara1-6]
#Message#,#Message#
\.「心外だ…割とマジで嫌だぜ…」,"\.""I'm hurt, man... That seriously gets to me..."""
##,##
,
#Message#,#Message#
\.「くそ…中学時代みたいにボーズにするか…」,\."Dammit... Maybe I should go back to
##, the crew cut I had in middle school..."
,##
,
{サラ},{サラ}
{SE: powerdown07},{SE: powerdown07}
#Message#,#Message#
\.\C[4]（悩み始めてしまった）,\.\C[4](And now he's started moping.)
##,##
,
-----Page3-----,-----Page3-----
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（この時間に帰ることはほとんどなかったから…,\.\C[4](I've rarely ever walked home at this hour...
　とても暗く感じる…）, It feels really dark...)
##,##
,
{ジョー} [ジョー / cara1-2],{ジョー} [ジョー / cara1-2]
#Message#,#Message#
「どーした？　手でもつないでやろうか？」,"What's up? Wanna hold hands?"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「はあ…？」,\."Ehh...?"
##,##
,
#Choice#,#Choice#
はい,Yes
いいえ,No
##,##
,
<はい>,<はい>
,
{ジョー} [ジョー / cara1-3],{ジョー} [ジョー / cara1-3]
#Message#,#Message#
「あ　どーせご自慢の握力で握りつぶす気だろ,"""On second thought, you'd probably crush me"
　やっぱ無しだ　サラ！」, with that amazing grip of yours.
##," Nah, forget it, Sara!"""
,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（そんな自慢ないけど）,\.\C[4](It's not like I'm boasting about it...)
##,##
,
<いいえ>,<いいえ>
,
{ジョー} [ジョー / cara1-3],{ジョー} [ジョー / cara1-3]
#Message#,#Message#
「冗談だって！　本気で嫌がんじゃねーよ」,"I'm just kidding! Don't actually get mad at me."
##,##
,
<Choice End>,<Choice End>
,
{ジョー} [ジョー / cara1-2],{ジョー} [ジョー / cara1-2]
#Message#,#Message#
\.「マジな話　お前,\."But real talk...
　彼氏作れば悩みもなくなるんじゃねーの？」, Wouldn't it help things if you got a boyfriend?"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「…」,\."..."
##,##
,
{ジョー} [ジョー / cara1-4],{ジョー} [ジョー / cara1-4]
#Message#,#Message#
\.「…」,\."..."
##,##
,
#Message#,#Message#
\.「…寝れてねーんだろ？,"\.""...You can't sleep, right?"
　\C[2]ストーカー\C[0]のせいで…」, 'Cause of your \C[2]stalker\C[0]..."
##,##
,
{サラ},{サラ}
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
「だから…いつも一緒に帰ってくれてるのか？」,"Is that... why you always go home with me?"
##,##
,
{ジョー} [ジョー / cara1-2],{ジョー} [ジョー / cara1-2]
#Message#,#Message#
\.「ば…バカめ…オレは自慢したくてだな…」,\."D... Dummy... I just wanted to brag..."
##,##
,
#Choice#,#Choice#
すまない,Sorry
ありがとう,Thank you
邪魔だ,It's a bother
##,##
,
<すまない>,<すまない>
,
{ジョー} [ジョー / cara1-1],{ジョー} [ジョー / cara1-1]
#Message#,#Message#
\.「…あやまんじゃねーよ,\."...Nothin' to apologize for.
　そういうのじゃねーって」," 'Cause I told you, it's not like that!"""
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「あやまったワケじゃ…」,\."I didn't mean it like an apology..."
##,##
,
<ありがとう>,<ありがとう>
,
{ジョー} [ジョー / cara1-3],{ジョー} [ジョー / cara1-3]
#Message#,#Message#
\.「なんのことやら！,"\.""For what, man?! Well, if you just"
　まぁ勝手に感謝すんなら止めねーけど」," feel like bein' grateful, I won't stop ya!"""
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「ふふ…」,\."Heehee..."
##,##
,
<邪魔だ>,<邪魔だ>
,
{ジョー} [ジョー / cara1-3],{ジョー} [ジョー / cara1-3]
#Message#,#Message#
\.「へへへ！　毎日邪魔してやるから覚悟しろい！」,"\.""Heheh! Prepare yourself to be bothered,"
##, day after day!"
,##
,
{サラ},{サラ}
#Message#,#Message#
\.「ふふ…」,\."Heehee..."
##,##
,
<Choice End>,<Choice End>
,
{ジョー} [ジョー / cara1-2],{ジョー} [ジョー / cara1-2]
#Message#,#Message#
\.「さて…ぼちぼち行こうぜ」,\."Alright... Let's mosey along now."
##,##
,
#Message#,#Message#
\.「親御さん　遅いと心配しちゃうだろ」,\."Your parents'll be worried if you're late."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「ああ…」,\."Right..."
##,##
,
,
"**********Event2********** (hari) (15,5)","**********Event2********** (hari) (15,5)"
-----Page1-----,-----Page1-----
#Message#,#Message#
\C[3]不審者注意の張り紙が貼ってある。,\C[3]A poster warning to watch out for strangers.
##,##
,
{ジョー} [ジョー / cara1-1],{ジョー} [ジョー / cara1-1]
#Message#,#Message#
「…」,"..."
##,##
,
,
"**********Event3********** (gai) (9,2)","**********Event3********** (gai) (9,2)"
-----Page1-----,-----Page1-----
#Message#,#Message#
\C[3]ぼんやりとした街灯が辺りを照らしている。,\C[3]A faint streetlight illuminates the area.
##,##
,
,
"**********Event4********** (kage) (9,6)","**********Event4********** (kage) (9,6)"
-----Page1-----,-----Page1-----
#Message#,#Message#
　　　\fs[60]\C[10]逃げなきゃ…！\|\^,        \fs[60]\C[10]I have to run...!\|\^
##,##
,
{サラ} [ジョー / cara1-1],{サラ} [ジョー / cara1-1]
#Message#,#Message#
「ジョー！　走って！」,"Joe! Run!"
##,##
,
{ジョー},{ジョー}
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
\.「はっ…!?」,\."Huh...?!"
##,##
,
,
,
=====Map5===== (OP5),=====Map5===== (OP5)
,
"**********Event1********** (EV001) (1,0)","**********Event1********** (EV001) (1,0)"
-----Page1-----,-----Page1-----
{サラ},{サラ}
#Message#,#Message#
「はぁ…　\.はぁ…　\.はぁ…」,"*pant*...\. *pant*...\. *pant*..."
##,##
,
{ジョー},{ジョー}
#Message#,#Message#
\.「はぁ…　はぁ…」,\."Hahh... phew..."
##,##
,
#Message#,#Message#
\.「家着いたな…」,\."We made it home..."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「…」,\."..."
##,##
,
{ジョー} [ジョー / cara1-2],{ジョー} [ジョー / cara1-2]
#Message#,#Message#
\.「だ　大丈夫だ,\."I-It's okay.
　ここまで来れば安全だって」, Should be fine now that we're here."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「ジョー…」,\."Joe..."
##,##
,
#Choice#,#Choice#
安心した,I'm relieved
怖い…,I'm scared...
##,##
,
<安心した>,<安心した>
,
{サラ} [ジョー / cara1-2],{サラ} [ジョー / cara1-2]
#Message#,#Message#
\.「安心したよ…,\."I'm relieved...
　もし一人で帰ってたら…」, If I'd gone home by myself..."
##,##
,
{ジョー} [ジョー / cara1-3],{ジョー} [ジョー / cara1-3]
#Message#,#Message#
\.「へへへ…」,\."Heheh..."
##,##
,
<怖い…>,<怖い…>
,
{サラ} [ジョー / cara1-3],{サラ} [ジョー / cara1-3]
#Message#,#Message#
\.「怖い…」,\."I'm scared..."
##,##
,
#Message#,#Message#
\.「怖いよ…　いつか私は…」,\."I'm so scared... Am I going to..."
##,##
,
#Message#,#Message#
\.「殺されるんじゃ…」,\."What if he kills me someday...?"
##,##
,
{ジョー} [ジョー / cara1-5],{ジョー} [ジョー / cara1-5]
#Message#,#Message#
\.「そんなことさせねーって！」,"\.""I'm not gonna let that happen, okay?!"""
##,##
,
{サラ},{サラ}
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
\.「ジョー…」,\."Joe..."
##,##
,
{ジョー} [ジョー / cara1-1],{ジョー} [ジョー / cara1-1]
{SE: Accent21-1},{SE: Accent21-1}
#Message#,#Message#
\.「いつでも呼べ！　オレを！」,\."Call on me! Anytime!"
##,##
,
[ジョー / cara1-3],[ジョー / cara1-3]
#Message#,#Message#
\.「ごつい後輩どもと来てやるよ！」,\."I'll come with a boatload of freshmen!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「…」,\."..."
##,##
,
<Choice End>,<Choice End>
,
{サラ} [ジョー / cara1-3],{サラ} [ジョー / cara1-3]
#Message#,#Message#
\.\C[4]（あいつは私を見ていた…）,\.\C[4](That guy was staring...)
##,##
,
#Message#,#Message#
\.\C[4]（そして…なにか…）,\.\C[4](And... it seemed like...)
##,##
,
{SE: horror_piano chord3},{SE: horror_piano chord3}
#Message#,#Message#
\.\C[4]（しゃべろうとしていた…？）,\.\C[4](He was trying to talk to me...?)
##,##
,
{ジョー} [ジョー / cara1-2],{ジョー} [ジョー / cara1-2]
#Message#,#Message#
「さあ　親御さんが待ってるぞ,"""Well, your parents are waiting, Sara!"""
　サラ」,##
##,
,
{サラ},{サラ}
#Message#,#Message#
\.「…ああ」,\."...Yeah."
##,##
,
#Message#,#Message#
\.「なあ　ジョー」,"\.""Hey, Joe..."""
##,##
,
#Choice#,#Choice#
ありがとう,Thank you
帰り…気を付けろよ,...Be careful
##,##
,
<ありがとう>,<ありがとう>
,
{ジョー} [ジョー / cara1-3],{ジョー} [ジョー / cara1-3]
#Message#,#Message#
「いいってことよ」,"It's all good!"
##,##
,
<帰り…気を付けろよ>,<帰り…気を付けろよ>
,
{ジョー} [ジョー / cara1-3],{ジョー} [ジョー / cara1-3]
#Message#,#Message#
「…おう！」,"...Yeah!"
##,##
,
<Choice End>,<Choice End>
,
{ジョー} [ジョー / cara1-2],{ジョー} [ジョー / cara1-2]
#Message#,#Message#
「…また明日…,\."See you tomorrow...
　学校でな！」, At school!"
##,##
,
{N/A},{N/A}
#Message#,#Message#
\C[3]しかし…　もう学校で会うことは　なかった,\C[3]However... They wouldn't meet at school.
##,##
,
#Message#,#Message#
\.\C[3]ふたりはこの夜…大きな事件に巻き込まれていくのだ…,"\.\C[3]On this night, the two of them would be"
##,wrapped up in a major incident...
,##
,
#Message#,#Message#
\.\C[3]多数決デスゲーム（仮）本編に続く…,\.\C[3]To be continued in Death Game By Majority (TBD)...
##,##
,
#Message#,#Message#
\.ということでストーリーではその後、,"\.So after this in the story, you find your parents"
倒れてる両親を発見→自室にストーカー降臨→気絶し,"collapsed, encounter the stalker in your room, faint,"
起きたら見知らぬ空間でデスゲーム…,"and wake up in an unfamiliar place, a Death Game..."
　　　　　　　　　　　　　　　の流れになっていきます。,                                  That sort of thing.
##,##
,
#Message#,#Message#
\.デスゲーム内では、,\.In the Death Game:
①先ほどと同じ探索パートでアイテムを集めること,1. You gather items ala the earlier exploration part.
②会議システムでキャラ同士が話し合い、話を進めること,2. You have discussions with characters using
を行います。,   a discussion system to advance the story.
##,##
,
#Message#,#Message#
\.このモックでは会議システムを少しだけ体験できるように,\.This mockup allows you to experience just a taste
してみましたので、どうぞこちらの会場へ。,"of the discussion system, so come over to the grounds."
##,##
,
#Message#,#Message#
ようこそ！,Welcome!
##,##
,
#Message#,#Message#
\.それでは、どうぞよろしくお願いいたします。,"\.Now then, go right ahead."
##,##
,
{サラ},{サラ}
#Message#,#Message#
「さぁ…入るか…」,"Okay... Guess I'll go in..."
##,##
,
#Message#,#Message#
\.「…ん？」,\."...Hm?"
##,##
,
{SE: horror_piano chord3},{SE: horror_piano chord3}
#Message#,#Message#
\.「…家の明かりが点いてない…？」,\."The house lights aren't on...?"
##,##
,
,
"**********Event3********** (mado) (10,3)","**********Event3********** (mado) (10,3)"
-----Page1-----,-----Page1-----
